idx	toxic_comment	neutral_comment	toxicity_score	dataset	toxic	confidence_toxic	is_match	confidence_is_match
6142	и,чё,блядь где этот херой был до этого со своими доказательствами?	Ну и где этот герой был,со своими доказательствами?	0.9990069270133972	ru	False	0.9999	True	0.9985
9210	ебанько из какого ебонария тебя выпустили???😂😂😂	Откуда ты взялся такой?	0.99932599067688	ru	False	0.9999	True	0.9972
8692	херну всякую пишут,из-за этого лайка.долбоебизм.	Чушь всякую пишут, из- за этого лайка.	0.9988914132118224	ru	False	0.9999	True	0.9964
10814	в гсвг за такие сапоги пиздюлей получил бы от сослуживцев	В ГСВГ за такие сапоги наказали бы сослуживцы	0.9988834261894226	ru	False	0.9999	True	0.995
7915	какой дебил эту придумывает 🤣	Кто это придумывает?	0.921756386756897	ru	False	0.9999	True	0.995
19642	В такой ситуации виноваты пидарасы из Ростелекома у которых даже кошка может купить фильм с пульта. Дебилы блять.	В такой ситуации виноваты из ростелекома у которых даже кошка может купить фильм с пульта	0.9993317723274232	ru	False	0.9999	True	0.9945
12162	а ты чмо там был.ты вообще служил.гандон	А ты там был? Ты вообще служил?	0.9401357173919678	ru	False	0.9999	True	0.9945
6142	и,чё,блядь где этот херой был до этого со своими доказательствами?	Где этот герой был до этого со своими доказательствами?	0.9990069270133972	ru	False	0.9999	True	0.9941
20467	Спасибо! Потому что предвзятость модераторов начинает напрягать - модерируют как бык поссал.	Спасибо! Потому что предвзятость модераторов начинает раздражать-модерируют спустя рукава.	0.9629462361335754	ru	False	0.9999	True	0.9941
19404	У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)	У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)	0.9993187189102172	ru	False	0.9999	True	0.9935
18305	Он про марихуану и вообще дуй отсюда, пока твой батя новый аккаунт не спалил.	Он про марихуану и вообще иди отсюда пока твой батя новый аккаунт не спалил	0.8494106531143188	ru	False	0.9999	True	0.9935
15302	пиздабол ---- а сам где кормишься ?	а сам где кормишься ?	0.997386872768402	ru	False	0.9999	True	0.9935
434	слышишь тыпиздед! что то вы помощники россии не едите жить в деревню, а прёте в города!	Что же вы помощники России не едите жить в деревню, а все в городе едите?	0.999284565448761	ru	False	0.9999	True	0.9925
17917	позорник кадони поддержал зажравшегося меньщикова... без команды боится ребят поддержать и поставить придурка на место...	Кадони поддержал меньшикова. Без команды боится ребят поддержать и поставить его на место.	0.9912050366401672	ru	False	0.9999	True	0.9911
8692	херну всякую пишут,из-за этого лайка.долбоебизм.	Ерунду всякую пишут,из-за этого лайка.	0.9988914132118224	ru	False	0.9999	True	0.9892
17334	сергей алонцев а ты приедь ко мне в гости на дальний восток чёрт ёбанный сам услышиш	сергей алонцев а ты приедь ко мне в гости на дальний восток  сам услышиш	0.9993160963058472	ru	False	0.9999	True	0.9892
9932	это где у неё в россии,пушкинская область?долбоебка	Это где у нее в России пушкинская область?	0.99932599067688	ru	False	0.9999	True	0.9885
20902	Почему у росгвардейца гибддшная палочка?	Почему у росгварлейца полицейский жезл?	0.9993065595626832	ru	False	0.9999	True	0.9885
11660	мы всегда лучше вас жили и живём . черти вы ебанные . иди жопу мой ванючка	мы всегда лучше вас жили и живём	0.9159278869628906	ru	False	0.9999	True	0.9883
2249	какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить	какой еще вид на жительство? он визу показывает,чтоб резиденцию испанскую получить. надо 3.5 года прожить или недвижимость дорогую купить	0.9981666803359984	ru	False	0.9999	True	0.988
7153	вы чо курите блять ?	Что вы курите?	0.9993150234222412	ru	False	0.9999	True	0.9871
15100	актёр может и не плохой,но как человек - хуйло конченное.	Актер может и не плохой,но плох как человек	0.9503942131996156	ru	False	0.9999	True	0.9871
10003	ну дебил..что с таким чмошником говорить...тебе не на запад..тебе у куев надо..там для тебя все свои будут	О чем с тобой говорить, тебе не на запад надо, а в Киев ...там для тебя все свои будут	0.9992897510528564	ru	False	0.9999	True	0.9871
11275	жириновский чертовски прав! не светская львица, а блядь, отгодайте в этом случае кем является блогер?	жириновский чертовски прав! не светская львица, а плохая женщина, отгодайте в этом случае кем является блогер?	0.998781144618988	ru	False	0.9999	True	0.9862
18547	Не пытайся меня понять. Не напрягай свои зачатки интеллекта.	Не пытайся меня понять, все равно не поймете	0.9992790818214417	ru	False	0.9999	True	0.9862
9660	зато его урода лправдывают, а людей невиных гнобят.купленые и судьи и адвокаты.твари.	Зато его оправдывают ,а людей невинных обижают ,купленные судьи и адвокаты	0.9992902278900146	ru	False	0.9999	True	0.9862
9377	одного не пойму это насколько надо быть быдлом чтобы у стариков отбирать последнее и отправлять на грабленное домой.твари.	"Одного не пойму это насколько надо быть бесчеловечными,чтобы у стариков отбирать последнее и отправлять награбленное домой ,
.плохие люди"	0.9810335636138916	ru	False	0.9999	True	0.9846
17273	биба и боба - два долбоёба! один снимает - другой погибает!	Два друга!один снимает другой погибает	0.9888650178909302	ru	False	0.9999	True	0.9824
3385	какая гадость... уничтожать на корню, эту заразу...	Какая гадость... уничтожать на корню, эту болезнь	0.9993315935134888	ru	False	0.9999	True	0.9824
6241	куда смотрят модераторы фотографий? как можно было пропустить эту фотографию? а этого урода убила бы	Куда смотрят модераторы, почему пропустили такую фотографию?	0.9993168115615844	ru	False	0.9999	True	0.9799
20185	Сидела задумалась как заебала её эта никчёмная жизнь.	Сидела задумалась как надоела ей её эта жизнь.	0.9971936941146852	ru	False	0.9999	True	0.9777
15833	давно пора и надо установить доску позора куда вывешивать фото этих уродов которым плох когда другим хорошо...народ должен знать своихгероев!	давно пора и надо установить доску позора куда вывешивать фото этих людей которым плохо когда другим хорошо...народ должен знать своих героев!	0.9993225336074828	ru	False	0.9999	True	0.9717
282	кто голосует за афганскую борзую ,вы ебанулись чтоль,пройдите в себе,знатоки породы,бляяяя	кто голосует за афганскую борзую ,пройдите в себе,знатоки породы	0.9992960691452026	ru	False	0.9999	True	0.9717
2005	суки пиздят за неделю всё разволилось	Врут, за неделю все разволилось	0.999314308166504	ru	False	0.9999	True	0.9706
20858	, Если модеры сочтут удалить, да в чем проблема то?	Если модераторы решат удалить, да в чем проблема то?	0.958682417869568	ru	False	0.9999	True	0.9706
18014	а потом на этом же сене трахались	А потом на этом же сене занимались любовью	0.9993182420730592	ru	False	0.9999	True	0.9706
282	кто голосует за афганскую борзую ,вы ебанулись чтоль,пройдите в себе,знатоки породы,бляяяя	Кто голосует за афганскую борзую, пройдите в себе, знатоки породы	0.9992960691452026	ru	False	0.9999	True	0.9706
8953	хуй знает кто кум, но девушка красивая👍	Не знаем кто кум,но девушка красивая	0.9096844792366028	ru	False	0.9999	True	0.9701
16544	уроды, а завтра лука приедет опять просить невозвратный кредит..	А завтра лука приедет опять просить невозвратный кредит	0.9993276596069336	ru	False	0.9999	True	0.9696
3367	ну да, вы только обоссатся можете	Вы только испугаться можете	0.9993267059326172	ru	False	0.9999	True	0.9684
12484	посмотреть бы на нее когда будет пенсионеркой идиотка	Посмотреть бы на нее, когда станет пенсионеркой	0.9993239641189576	ru	False	0.9999	True	0.9669
21170	Только вот вся семья его живет в рашке и всех их перевезти не варик	Только вот вся семья его живёт в России и перевезти их всех не вариант.	0.9682013392448424	ru	False	0.9999	True	0.9669
17412	ты идиот я разговор веду и незакого нерешаю еще один агресивный чувырло вот так все и начинается	я разговор веду и незакого нерешаю еще один агресивный человек вот так все и начинается	0.9237873554229736	ru	False	0.9999	True	0.9655
6142	и,чё,блядь где этот херой был до этого со своими доказательствами?	и,где этот герой был до этого со своими доказательствами?	0.9990069270133972	ru	False	0.9999	True	0.9626
20737	А нахрена тогда ты здесь это писал?	Зачем ты это писал	0.99404376745224	ru	False	0.9999	True	0.9565
1753	да по хуй сука пол страны синька чемо.и не хуя молчат.одна кокая мразота известная пережрала водки так пиздец катострофа	То что пол страны пьют-всем все равно, молчат. А как кто из знаменитостей напьётся-так катастрофу из этого делают.	0.9993246793746948	ru	False	0.9999	True	0.9565
10509	у меня сегодня подобный звонок был. достали говнюки.	У меня сегодня подобный звонок был,надоели	0.9335609674453736	ru	False	0.9999	True	0.9565
17334	сергей алонцев а ты приедь ко мне в гости на дальний восток чёрт ёбанный сам услышиш	Сергей алонцев а ты приедь ко мне в гости на дальний восток сам услышишь	0.9993160963058472	ru	False	0.9999	True	0.9565
13778	дебили пару головастиков и обосрались.	добили пару головастиков и испугались.	0.9892634749412536	ru	False	0.9999	True	0.9535
14292	такого пидораса ещё небыло и не будет за всю историю россии русской.	такого человека  ещё не было и не будет за всю историю россии русской.	0.999312162399292	ru	False	0.9999	True	0.9411
17525	главный долбоеб года уханя повар из полицейский из миннеаполиса сварщик из бейрута президент минска из d	главный человек года уханя повар из полицейский из миннеаполиса сварщик из бейрута президент минска из d	0.9881999492645264	ru	False	0.9999	True	0.9411
17354	начни со сваих выблядко в	Начните с себя и своих детей.	0.9985445737838744	ru	False	0.9999	True	0.9411
7141	потомушто долбоебы, зато щас разнообразного хлама полно	Потому что не в себе, зато сейчас разнообразной ерунды полно	0.8137790560722351	ru	False	0.9999	True	0.9411
